clue,explanation,clue_url,explanation_url,clue_created_at,explanation_created_at
Part of the head’s sacred space (6),"In this double definition, the word TEMPLE is both “part of the head” and a “sacred space.” Yes, they have different etymologies!",https://twitter.com/stellaphone/status/1538834335339511808,https://twitter.com/stellaphone/status/1540286460624097280,2022-06-20 10:41:10+00:00,2022-06-24 10:51:24+00:00
Bird eating bit of nut is ready to use right away (7),"Tough one! TURNKEY (“ready to use right away,” in a real-estate sense) is TURKEY (“bird”) “eating” the letter N. “Bit of” is a common indicator phrase meaning “take the first letter of the word that follows” (NUT, in this case).",https://twitter.com/stellaphone/status/1538485284580601857,https://twitter.com/stellaphone/status/1540286285822267394,2022-06-19 11:34:10+00:00,2022-06-24 10:50:42+00:00
"South Carolina superhero: The Hyena, say (9)","SCAVENGER (“the hyena, say”; ignore the deceptive capitalization) is SC (“South Carolina”) plus AVENGER (“superhero”).",https://twitter.com/stellaphone/status/1538124870382395392,https://twitter.com/stellaphone/status/1540285860851113989,2022-06-18 11:42:00+00:00,2022-06-24 10:49:01+00:00
"Beer, swallowed right, becomes bigger (6)","The typo was LARGER (“bigger”), which is LAGER (“beer,” the word that was meant on the sign in question) “swallowing” the letter R (“right”).",https://twitter.com/stellaphone/status/1537750417114898432,https://twitter.com/stellaphone/status/1540285608068878336,2022-06-17 10:54:04+00:00,2022-06-24 10:48:00+00:00
Tell stories about storm (6),"REGALE (“tell stories”) is RE (“about,” as in the subject line of a memo sense) plus GALE (“storm”).",https://twitter.com/stellaphone/status/1537373389156933632,https://twitter.com/stellaphone/status/1537749934602076163,2022-06-16 09:55:53+00:00,2022-06-17 10:52:09+00:00
Messy eaters’ holiday (6),EASTER is the “holiday” you get from anagramming (“messy”) EATERS.,https://twitter.com/stellaphone/status/1537016617162493953,https://twitter.com/stellaphone/status/1537749593429098496,2022-06-15 10:18:12+00:00,2022-06-17 10:50:47+00:00
"Part of the leg is not feeling well, beset by pains (8)","ACHILLES is the “part of the leg” you get when ILL (“not feeling well”) is “beset by,” or put inside, the word ACHES (“pains”).",https://twitter.com/stellaphone/status/1536655294238949376,https://twitter.com/stellaphone/status/1537749431117832192,2022-06-14 10:22:26+00:00,2022-06-17 10:50:09+00:00
Take both sides of dudes’ facial hair (6),"BEAR (“take,” in its “abide” sense) plus “both sides of”—that is, the first and last letters of—DUDES gives you BEARDS (“facial hair”).",https://twitter.com/stellaphone/status/1536288654221533184,https://twitter.com/stellaphone/status/1537749165299716097,2022-06-13 10:05:32+00:00,2022-06-17 10:49:05+00:00
Lady takes possession of California road construction material (7),MACADAM is the “road construction material” you get when MADAM (“lady”) “takes possession of” the letters CA (“California”).,https://twitter.com/stellaphone/status/1535954774994083842,https://twitter.com/stellaphone/status/1537748810440527876,2022-06-12 11:58:49+00:00,2022-06-17 10:47:41+00:00
"A rakish, unusual Colombian (7)",SHAKIRA is the “Colombian” you get from anagramming (“unusual”) A RAKISH.,https://twitter.com/stellaphone/status/1535586354955960321,https://twitter.com/stellaphone/status/1537748588796715009,2022-06-11 11:34:51+00:00,2022-06-17 10:46:48+00:00
Boozy card game (5),It’s time I explained a few things! RUMMY is both “boozy” and a “card game.” The etymology of the latter appears to be unknown but possibly from the liquor; I decided “unknown” was good enough to call it not an etymological dupe.,https://twitter.com/stellaphone/status/1535210088046133248,https://twitter.com/stellaphone/status/1537748449965350912,2022-06-10 10:39:42+00:00,2022-06-17 10:46:15+00:00
Elephant omen masks spirit (7),"PHANTOM is the “spirit” that’s “masked” by, or hidden in, the phrase “elePHANT OMen.”",https://twitter.com/stellaphone/status/1534839272729194497,https://twitter.com/stellaphone/status/1535209691009130497,2022-06-09 10:06:13+00:00,2022-06-10 10:38:07+00:00
"Double praise, in retrospect (4)",Reverse (“in retrospect”) the word LAUD (“praise”) to get DUAL (“double”).,https://twitter.com/stellaphone/status/1534479608179040256,https://twitter.com/stellaphone/status/1535209505591640065,2022-06-08 10:17:02+00:00,2022-06-10 10:37:23+00:00
Singer’s unhappy energy (4),"SADE is the “singer” you get from SAD (“unhappy”) plus E, an abbreviation for “energy.”",https://twitter.com/stellaphone/status/1534121713520324608,https://twitter.com/stellaphone/status/1535209322631860233,2022-06-07 10:34:53+00:00,2022-06-10 10:36:39+00:00
Bar bill with rounds is verboten (5),"Add TAB (“bar bill”) to two letter Os (“rounds,” get it?) to get TABOO (“verboten”).",https://twitter.com/stellaphone/status/1533754631020503042,https://twitter.com/stellaphone/status/1535209136639594497,2022-06-06 10:16:14+00:00,2022-06-10 10:35:55+00:00
#150 unit is secure (6),"CL is 150 in Roman numerals; add INCH, a “unit,” to get CLINCH, or “secure” (in the verb sense).",https://twitter.com/stellaphone/status/1533438630169018368,https://twitter.com/stellaphone/status/1535208949301002243,2022-06-05 13:20:34+00:00,2022-06-10 10:35:10+00:00
Thrive like a staple? (8),"FLOUR is “a staple,” so “like a staple,” not literally (hence the question mark) is FLOUR-ISH, or FLOURISH (“thrive”).",https://twitter.com/stellaphone/status/1533050634529918985,https://twitter.com/stellaphone/status/1535208729112616960,2022-06-04 11:38:48+00:00,2022-06-10 10:34:18+00:00
Actor Scott seizes railroad neighborhood (6),"It’s  again! BARRIO is the “neighborhood” you get when BAIO (“actor Scott”) “seizes” RR, the abbreviation for “railroad.”",https://twitter.com/stellaphone/status/1532674990058917888,https://twitter.com/stellaphone/status/1535208447100297217,2022-06-03 10:46:08+00:00,2022-06-10 10:33:11+00:00
Generate small chess piece (5),"Easiest of the week: SPAWN, or “generate,” is S (“small”) plus PAWN (“chess piece”).",https://twitter.com/stellaphone/status/1532305667037577216,https://twitter.com/stellaphone/status/1532674568200011776,2022-06-02 10:18:34+00:00,2022-06-03 10:44:27+00:00
"Cartoon baby, denied opening, becomes collegian in Texas (5)","“Deny the opening”—that is, remove the first letter from—MAGGIE, a “cartoon baby,” to get AGGIE, a “collegian in Texas.”",https://twitter.com/stellaphone/status/1531943060761890816,https://twitter.com/stellaphone/status/1532674247121940480,2022-06-01 10:17:42+00:00,2022-06-03 10:43:10+00:00
"English philosopher is crooked, bad actor (7)",Jeremy BENTHAM is the “English philosopher” you get from BENT (“crooked”) plus HAM (“bad actor”).,https://twitter.com/stellaphone/status/1531588161423527936,https://twitter.com/stellaphone/status/1532674000677130244,2022-05-31 10:47:27+00:00,2022-06-03 10:42:12+00:00
"Mailed mayor constituents right now (8,3)","When this clue was posted, “right now” was MEMORIAL DAY, which can be made from the “constituents” (i.e., anagrammed) of MAILED MAYOR.",https://twitter.com/stellaphone/status/1531240772187586563,https://twitter.com/stellaphone/status/1532673818854293505,2022-05-30 11:47:03+00:00,2022-06-03 10:41:28+00:00
Country of the Spanish invasion of body of water (6),"If you “invade” POND, a “body of water,” with LA (“the Spanish,” or “the” in Spanish), you get the “country” of POLAND.",https://twitter.com/stellaphone/status/1530874877414088704,https://twitter.com/stellaphone/status/1532673622237650944,2022-05-29 11:33:07+00:00,2022-06-03 10:40:41+00:00
Officer’s phrase about the ladies? (7),"A SHE-RIFF is a “phrase about the ladies?” (The question mark indicates that the wordplay isn’t quite literal.) That gets you SHERIFF, an “officer.”",https://twitter.com/stellaphone/status/1530512373869600768,https://twitter.com/stellaphone/status/1532673344528691201,2022-05-28 11:32:40+00:00,2022-06-03 10:39:35+00:00
"NBA star with no time doubled up for band (5,5)","Take DURANT (“NBA star”), remove the T (“no time”), and “double up” the result to get a “band”—DURAN DURAN.",https://twitter.com/stellaphone/status/1530141366537400320,https://twitter.com/stellaphone/status/1532673017574309890,2022-05-27 10:58:25+00:00,2022-06-03 10:38:17+00:00
"Oil, say, that lady’s dad (6)","FAT (“oil, say”) plus HER (“that lady’s”) gives you FATHER (“dad”).",https://twitter.com/stellaphone/status/1529767923526533120,https://twitter.com/stellaphone/status/1530141037330583562,2022-05-26 10:14:29+00:00,2022-05-27 10:57:06+00:00
Scare farm animal (3),"In this double definition, COW means both “scare” and “farm animal.”",https://twitter.com/stellaphone/status/1529406580898283521,https://twitter.com/stellaphone/status/1530140883391496192,2022-05-25 10:18:38+00:00,2022-05-27 10:56:29+00:00
App in which successful runners make graffiti hit (9),"INS (“successful runners,” as in elected politicians”) plus TAG (“make graffiti”) plus RAM (“hit”) makes INSTAGRAM (“app”).",https://twitter.com/stellaphone/status/1529047141456527360,https://twitter.com/stellaphone/status/1530140770136629248,2022-05-24 10:30:21+00:00,2022-05-27 10:56:02+00:00
"Drag Race España star “Butt Sex Royalty” embraces part of California (3,7)","Couldn’t resist cluing ANA LOCKING (“Drag Race España star”) as ANAL KING (“butt sex royalty”) “embracing” OC (“part of California,” i.e., Orange County).",https://twitter.com/stellaphone/status/1528930812682461184,https://twitter.com/stellaphone/status/1530140544332095490,2022-05-24 02:48:06+00:00,2022-05-27 10:55:09+00:00
Demoralize relative after drive (5),"Place AUNT, a “relative,” after the letter D (“drive” as in the car gear) to get DAUNT (“demoralize”).",https://twitter.com/stellaphone/status/1528679859689488397,https://twitter.com/stellaphone/status/1530140171991121921,2022-05-23 10:10:54+00:00,2022-05-27 10:53:40+00:00
"Not for polite company, like data transmission rates on the radio? (5)","BAWDY (“not for polite company”) is a homophone (“on the radio”) of BAUD-Y (“like data transmission rates”). Once again, the question mark indicates not-quite-literal wordplay.",https://twitter.com/stellaphone/status/1528345756880490501,https://twitter.com/stellaphone/status/1530139946006216704,2022-05-22 12:03:18+00:00,2022-05-27 10:52:46+00:00
"Between Utah and California, one city (5)",Put I (“one”) “between” UT and CA (the postal abbreviations for Utah and California) to get the “city” of UTICA.,https://twitter.com/stellaphone/status/1527975698824146944,https://twitter.com/stellaphone/status/1530139607995654146,2022-05-21 11:32:49+00:00,2022-05-27 10:51:25+00:00
Give the wrong wig to S&amp;M practitioner? (8),A MISTRESS is the “S&amp;M practitioner” you get from MIS-TRESS (“give the wrong wig to”). The question mark indicates that the wordplay is not fully literal.,https://twitter.com/stellaphone/status/1527604561313435648,https://twitter.com/stellaphone/status/1530139382094635008,2022-05-20 10:58:03+00:00,2022-05-27 10:50:31+00:00
"Flashy, filled with neutral decoration (7)",GARNISH (“decoration”) is GARISH (“flashy”) “filled with” the letter N (“neutral”).,https://twitter.com/stellaphone/status/1527244417098211330,https://twitter.com/stellaphone/status/1527604251635195905,2022-05-19 11:06:58+00:00,2022-05-20 10:56:49+00:00
Announced lowland ski resort (4),VAIL is the “ski resort” that’s a homophone (“announced”) of VALE (“lowland”).,https://twitter.com/stellaphone/status/1526868577663467522,https://twitter.com/stellaphone/status/1527603984747331584,2022-05-18 10:13:31+00:00,2022-05-20 10:55:46+00:00
Possesses that guy’s hospital drug (7),HASHISH (“drug”) is HAS (“possesses”) plus HIS (“that guy’s”) plus H (“hospital”).,https://twitter.com/stellaphone/status/1526513371511758848,https://twitter.com/stellaphone/status/1527603780988063745,2022-05-17 10:42:03+00:00,2022-05-20 10:54:57+00:00
Elude a general explosion in addictive online pastime (13),"Anagram (“explosion”) ELUDE A GENERAL to get LEARNEDLEAGUE, an “addictive online pastime.” @LearnedLeague",https://twitter.com/stellaphone/status/1526150628908703744,https://twitter.com/stellaphone/status/1527603573114122240,2022-05-16 10:40:39+00:00,2022-05-20 10:54:07+00:00
Wager nothing for Texas gubernatorial candidate (4),"BETO (“Texas gubernatorial candidate”) is BET (“wager”) plus O (“nothing,” as in zero).",https://twitter.com/stellaphone/status/1525817807396642817,https://twitter.com/stellaphone/status/1527603363134820352,2022-05-15 12:38:08+00:00,2022-05-20 10:53:17+00:00
"Rude dude’s body odor, or…? (4)",BOOR (“rude dude” is BO (“body odor”) plus OR (given in the clue).,https://twitter.com/stellaphone/status/1525448779364806656,https://twitter.com/stellaphone/status/1527603185812180992,2022-05-14 12:11:45+00:00,2022-05-20 10:52:35+00:00
"At the crack of ass, in the manner of a part of the head? (5)","EARLY (“at the crack of ass,” which is when I had to get up for my surgery last week) is EAR-LY, or “in the manner of a part of the head?” The question mark indicates non-literal wordplay.",https://twitter.com/stellaphone/status/1525045218357157889,https://twitter.com/stellaphone/status/1527603025266847744,2022-05-13 09:28:08+00:00,2022-05-20 10:51:57+00:00
"Actress rearranged petunia plot (5,6)","“Rearrange,” or anagram, PETUNIA PLOT to get PATTI LUPONE, an “actress.”",https://twitter.com/stellaphone/status/1524690677338185728,https://twitter.com/stellaphone/status/1524875708476047361,2022-05-12 09:59:19+00:00,2022-05-12 22:14:34+00:00
Drunken pal loses the fifth (5),"Remove the fifth letter (“loses the fifth”) from FRIEND to get FRIED, or “drunken.”",https://twitter.com/stellaphone/status/1524331983131787264,https://twitter.com/stellaphone/status/1524875557514661888,2022-05-11 10:14:00+00:00,2022-05-12 22:13:58+00:00
Florence West’s movement (4),Add FLO (“Florence”) to W (“West”) to get FLOW (“movement”).,https://twitter.com/stellaphone/status/1523974556674895872,https://twitter.com/stellaphone/status/1524875433224847361,2022-05-10 10:33:43+00:00,2022-05-12 22:13:28+00:00
Mythical creature to take forever (6),DRAGON is a “mythical creature” you get from DRAG ON (“to take forever”).,https://twitter.com/stellaphone/status/1523605529461141504,https://twitter.com/stellaphone/status/1524875302874370048,2022-05-09 10:07:20+00:00,2022-05-12 22:12:57+00:00
"Newsworthy winner tricks heir deviously (4,6)",RICH STRIKE is the “newsworthy winner” (of the Kentucky Derby) that you get from anagramming (“deviously”) TRICKS HEIR.,https://twitter.com/stellaphone/status/1523272000789225475,https://twitter.com/stellaphone/status/1524875134095466498,2022-05-08 12:02:00+00:00,2022-05-12 22:12:17+00:00
Plant sauce (4),"In this double definition, MOLE is a “plant” (as in a spy) and a “sauce” (in its two syllable form).",https://twitter.com/stellaphone/status/1522902039327649793,https://twitter.com/stellaphone/status/1524874078586298382,2022-05-07 11:31:54+00:00,2022-05-12 22:08:05+00:00
Burn is Mother’s attractive quality (8),"Hi folks, I’m having surgery very early tomorrow morning, so  starts now. CHARISMA (“attractive quality”) is CHAR (“burn”) plus IS (given in the clue) plus MA (“Mother”).",https://twitter.com/stellaphone/status/1522523041573613570,https://twitter.com/stellaphone/status/1524873673093664768,2022-05-06 10:25:54+00:00,2022-05-12 22:06:29+00:00
